id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Avg. pub. year>	description	url
1	Anderson (2012)	2.8103	-0.0362	1	3	7	4			https://openalex.org/W2078184434
2	Mochizuki (2015)	2.7248	0.0742	1	3	6	5			https://openalex.org/W2136142687
3	Cordero (2020)	2.6467	-0.028	1	4	9	5			https://openalex.org/W3005496444
4	Palinkas (2019)	2.7025	0.084	2	1	2	2			https://openalex.org/W2955558484
5	Cianconi (2020)	2.2611	0.5187	2	1	2	2			https://openalex.org/W3009280600
6	Nölting (2020)	2.4427	0.3661	3	2	4	2			https://openalex.org/W3015977539
7	Brundiers (2020)	2.4354	0.5496	3	204	676	50			https://openalex.org/W3045957195
8	Ibisch (2019)	2.4231	0.3589	3	2	4	2			https://openalex.org/W4384305558
9	Krah (2021)	2.3723	0.3744	3	1	2	2			https://openalex.org/W3143938298
10	Ferrer-Balas (2010)	2.2556	0.9475	4	8	17	4			https://openalex.org/W2000872253
11	Lozano (2013)	2.2558	1.0328	4	52	126	17			https://openalex.org/W2057829398
12	Lambrechts (2012)	2.1332	1.2113	5	83	229	20			https://openalex.org/W2084167487
13	Velázquez (2006)	2.0013	1.4016	6	20	47	7			https://openalex.org/W2114498070
14	Ramos (2015)	2.0636	1.317	6	24	52	8			https://openalex.org/W578181179
15	Sterling (2004)	2.3479	0.8955	4	65	162	16			https://openalex.org/W806933157
16	Verhulst (2014)	2.0535	1.3942	6	52	124	12			https://openalex.org/W2036846348
17	Mulà (2017)	2.2592	1.079	5	95	255	24			https://openalex.org/W2609836960
18	Radinger-Peer (2012)	2.2217	0.781	4	1	2	2			https://openalex.org/W2041126604
19	Astin (1999)	2.092	1.4404	7	1	2	2			https://openalex.org/W121643928
20	W6604976979	1.6506	1.8752	7	1	2	2			https://openalex.org/W6604976979
21	Zwickle (2014)	2.1242	1.2315	6	4	9	4			https://openalex.org/W1487837862
22	Hu (1999)	1.4526	2.1783	9	12	25	8			https://openalex.org/W2071666535
23	Décamps (2017)	2.068	1.3433	6	50	112	15			https://openalex.org/W2625097097
24	Michel (2021)	2.1536	1.2207	6	2	4	2			https://openalex.org/W3159390192
25	Osagie (2014)	2.3187	0.5673	3	3	6	2			https://openalex.org/W1971037460
26	Sipos (2008)	2.4295	0.5712	3	172	518	34			https://openalex.org/W2050837769
27	Wiek (2011)	2.3722	0.6193	3	490	1702	102			https://openalex.org/W2165820560
28	Arnold (2015)	2.373	0.438	3	3	6	2			https://openalex.org/W2008031488
29	Svanström (2008)	2.1687	1.2374	5	35	97	11			https://openalex.org/W2039312645
30	Shephard (2008)	1.3737	2.003	9	75	186	18			https://openalex.org/W2093853629
31	Habron (2012)	2.3735	0.6928	3	2	4	3			https://openalex.org/W2076661584
32	Ferdig (2007)	2.3334	0.5195	3	3	6	2			https://openalex.org/W2146979034
33	Buckley (2020)	2.4376	0.4321	3	3	6	2			https://openalex.org/W2997158642
34	Levine (2012)	1.3431	1.867	9	2	4	2			https://openalex.org/W2080459965
35	Palmer (2002)	1.3616	1.872	9	2	4	2			https://openalex.org/W644548865
36	Shephard (2013)	1.3805	1.8687	9	1	2	2			https://openalex.org/W2148509759
37	Filho (2016)	2.3003	0.5067	3	3	6	4			https://openalex.org/W4243593364
38	Laugksch (2000)	2.1823	0.6192	3	1	2	2			https://openalex.org/W2127753431
39	Leiserowitz (2006)	2.1697	0.6538	3	1	2	2			https://openalex.org/W2139179428
40	Gifford (2014)	2.2773	0.7172	3	3	6	2			https://openalex.org/W2151006303
41	Blaze (2016)	2.3678	0.7045	3	4	9	4			https://openalex.org/W2592039823
42	W6682350169	2.2863	0.7347	3	3	6	2			https://openalex.org/W6682350169
43	Crick (2008)	2.2089	0.6182	3	1	2	2			https://openalex.org/W2169364527
44	Glasser (2016)	2.2873	0.54	3	2	4	2			https://openalex.org/W2515582591
45	Agyeman (2004)	1.3825	1.9963	10	1	2	2			https://openalex.org/W2215691487
46	Michel (2020)	0.9411	2.431	10	1	2	3			https://openalex.org/W3012973834
47	Braun (2006)	2.5049	0.6581	3	36	97	18			https://openalex.org/W1979290264
48	Thomas (2009)	2.3874	0.8917	4	70	193	18			https://openalex.org/W2151666942
49	Biasutti (2017)	2.4867	0.6346	3	30	70	12			https://openalex.org/W2765608447
50	Lozano (2017)	2.4707	0.5663	3	245	838	57			https://openalex.org/W2766634624
51	Wilhelm (2019)	2.4486	0.6156	3	9	22	5			https://openalex.org/W2924626341
52	UNESCO (2017)	2.5225	0.617	3	183	540	54			https://openalex.org/W4376059778
53	Tilbury (2007)	2.7068	0.5884	3	1	2	3			https://openalex.org/W1985097624
54	Breiting (1999)	2.3773	0.5093	3	3	6	2			https://openalex.org/W2036120158
55	Wals (2013)	0.8662	2.3911	11	129	330	24			https://openalex.org/W2052755889
56	Laurie (2016)	2.4695	0.6041	3	11	24	8			https://openalex.org/W2515596521
57	Bäckman (2019)	2.5937	0.5901	3	4	8	3			https://openalex.org/W2904246432
58	Evans (2019)	2.4401	0.564	3	28	76	9			https://openalex.org/W2977599268
59	Toro-Troconis (2023)	2.559	0.5745	3	7	15	4			https://openalex.org/W4385245858
60	Halfacree (2001)	2.0712	1.4683	6	45	109	20			https://openalex.org/W92875728
61	Lozano (2008)	2.6663	0.598	3	3	6	3			https://openalex.org/W2082705919
62	Sprain (2012)	2.3855	0.5603	3	5	14	5			https://openalex.org/W2085890923
63	Holdsworth (2015)	2.421	0.6515	3	7	15	5			https://openalex.org/W2227806495
64	Cebrián (2016)	2.4394	0.675	3	4	9	3			https://openalex.org/W2516243206
65	Castro (2020)	2.6161	0.4542	3	1	2	3			https://openalex.org/W3025111546
66	Filho (2019)	0.6047	2.4065	12	134	345	35			https://openalex.org/W2947399006
67	Swain (2019)	0.6888	2.3903	12	2	4	2			https://openalex.org/W2990986560
68	Kopnina (2020)	0.737	2.4523	12	16	36	12			https://openalex.org/W3001048598
69	Shulla (2020)	0.9017	2.5846	11	7	16	8			https://openalex.org/W3004843425
70	Redman (2021)	2.4354	0.5899	3	29	84	13			https://openalex.org/W3216416295
71	UNESCO (2020)	2.5064	0.572	3	60	160	26			https://openalex.org/W4361741174
72	Fonseca (2020)	2.6912	0.5185	3	1	2	2			https://openalex.org/W3016584396
73	Wals (2010)	0.3285	2.3163	13	5	10	5			https://openalex.org/W1511893560
74	Filho (2011)	0.2392	2.4436	13	70	168	14			https://openalex.org/W1998691433
75	Taşdemir (2020)	2.1854	1.3233	6	8	16	3			https://openalex.org/W3018683589
76	Unknown (2018)	2.4543	0.5279	3	113	333	35			https://openalex.org/W2412247133
77	Fiselier (2017)	2.5	0.5588	3	19	49	10			https://openalex.org/W2766189381
78	Ryan (2013)	2.421	0.8565	4	21	46	4			https://openalex.org/W3013178251
79	Brundiers (2010)	2.4091	0.5417	3	93	253	25			https://openalex.org/W2081776008
80	Gale (2015)	1.9894	1.2838	6	3	6	3			https://openalex.org/W2221527177
81	Dunlap (2008)	0.2207	2.2826	14	1	2	2			https://openalex.org/W1973771276
82	Dunlap (1978)	-0.2207	2.7174	14	1	2	2			https://openalex.org/W2088678796
83	Dunlap (2000)	-0.0281	2.4368	15	3	6	6			https://openalex.org/W1987179471
84	Harraway (2012)	-0.4769	2.2676	15	2	4	2			https://openalex.org/W2013668977
85	Shephard (2009)	-0.399	2.7408	15	2	4	2			https://openalex.org/W2092557708
86	Barth (2007)	1.3568	2.0398	9	215	705	46			https://openalex.org/W1999047093
87	Buissink‐Smith (2011)	1.2894	1.9716	9	3	6	3			https://openalex.org/W2012234193
88	Shephard (2014)	1.3034	1.9564	9	3	6	2			https://openalex.org/W2171112704
89	Weiss (1992)	1.2335	2.0949	9	1	2	2			https://openalex.org/W2945493112
90	Fischer (2014)	2.5586	0.7132	4	7	15	4			https://openalex.org/W3121167301
91	Bamberg (2006)	1.5019	2.1074	9	11	22	5			https://openalex.org/W2009720692
92	Blanco-Portela (2017)	0.6474	2.4066	12	26	55	9			https://openalex.org/W2742722790
93	Adams (2017)	2.1189	1.437	6	11	24	4			https://openalex.org/W2761524075
94	Albareda-Tiana (2018)	0.5564	2.3399	12	15	33	10			https://openalex.org/W2783982195
95	Filho (2019)	0.5573	2.4212	12	18	40	5			https://openalex.org/W2955600634
96	Aleixo (2020)	2.1052	1.5126	6	22	49	8			https://openalex.org/W3008693692
97	González (2020)	0.5895	2.373	12	7	15	4			https://openalex.org/W3087744632
98	Owens (2017)	0.6002	2.3289	12	10	27	8			https://openalex.org/W2749837364
99	Fia (2022)	0.6379	2.3012	12	1	2	2			https://openalex.org/W4283379428
100	Jones (2010)	1.2143	2.1674	9	12	24	8			https://openalex.org/W1596145716
101	Anåker (2014)	1.1124	2.2272	9	1	2	2			https://openalex.org/W2018141841
102	Kopnina (2014)	1.4734	2.0466	9	15	31	10			https://openalex.org/W1585765419
103	Al-Athel (1987)	2.1951	1.3496	5	18	42	10			https://openalex.org/W2289969916
104	O’Flaherty (2017)	1.0086	2.3394	11	23	55	11			https://openalex.org/W2766553479
105	Kioupi (2019)	-0.5095	2.4386	16	74	173	16			https://openalex.org/W2987690254
106	Sterling (2010)	0.9224	2.3143	11	15	31	4			https://openalex.org/W2019188229
107	Mogensen (2010)	2.3968	0.5646	3	20	44	6			https://openalex.org/W2164719769
108	Pauw (2015)	0.8985	2.3818	11	58	140	14			https://openalex.org/W2176530085
109	Holden (2016)	0.9687	2.2799	11	8	16	4			https://openalex.org/W2527013194
110	Huckle (2015)	2.2845	0.8707	5	4	8	4			https://openalex.org/W2061056793
111	Cotterell (2019)	2.3204	0.7195	5	1	2	2			https://openalex.org/W2911175287
112	Restrepo (2017)	-0.7994	2.2781	17	16	32	4			https://openalex.org/W2607838647
113	Stössel (2021)	-0.6727	2.2888	17	1	2	2			https://openalex.org/W3191991652
114	Affairs (2023)	-0.9411	1.9963	18	1	2	2			https://openalex.org/W4386981037
115	W6842167131	-1.3825	2.431	18	1	2	2			https://openalex.org/W6842167131
116	Borges (2017)	0.2141	2.4288	13	23	47	4			https://openalex.org/W2595097791
117	Al‐Naqbi (2018)	1.5528	2.0535	9	37	89	11			https://openalex.org/W2783834832
118	Slager (2018)	2.2488	0.6541	3	1	3	3			https://openalex.org/W2853010613
119	Weiss (2021)	2.3942	0.5831	3	14	34	7			https://openalex.org/W3173999974
120	Kohl (2021)	0.9119	2.4486	12	22	49	8			https://openalex.org/W3202265498
121	Figueiró (2022)	0.8782	2.4108	12	12	24	4			https://openalex.org/W4205273085
122	Alm (2022)	0.7568	2.4148	12	17	36	8			https://openalex.org/W4205971414
123	Boarin (2022)	2.2686	0.5936	3	2	4	2			https://openalex.org/W4213183046
124	Sommier (2022)	2.2262	0.7276	3	1	2	2			https://openalex.org/W4214506090
125	Fornell (1981)	0.3551	2.4291	13	2	4	2			https://openalex.org/W4230637740
126	Serafini (2022)	0.8329	2.4415	12	10	20	7			https://openalex.org/W4292084132
127	Filho (2022)	0.788	2.426	12	7	15	4			https://openalex.org/W4313215437
128	Mokski (2022)	2.48	0.7038	3	10	21	8			https://openalex.org/W4313464075
129	Elmassri (2023)	0.8756	2.4413	12	5	10	2			https://openalex.org/W4386996553
130	Abo‐Khalil (2024)	2.4325	0.7822	3	2	4	4			https://openalex.org/W4394935848
131	Narong (2024)	2.1898	0.6722	3	1	2	2			https://openalex.org/W4405734869
132	Radwan (2021)	0.6784	2.4457	12	7	15	6			https://openalex.org/W3169103046
133	Avelar (2022)	1.6785	2.0405	9	2	4	2			https://openalex.org/W4229364532
134	Mohammadi (2023)	1.6706	2.057	9	2	4	2			https://openalex.org/W4315864416
135	Araneo (2023)	1.6827	2.0766	9	1	2	3			https://openalex.org/W4388831900
136	Weybrecht (2021)	0.8061	2.5165	12	1	2	2			https://openalex.org/W4200363159
137	Obrecht (2022)	0.8236	2.4809	12	2	4	2			https://openalex.org/W4280535670
138	Albareda-Tiana (2024)	0.8491	2.3914	12	2	4	2			https://openalex.org/W4390584924
139	Azmat (2023)	2.5599	0.8635	3	1	2	2			https://openalex.org/W4313593702
140	Adhikari (2022)	-1.6166	2.05	19	9	18	3			https://openalex.org/W4361854962
141	Trevisan (2024)	-1.723	2.0632	19	1	2	3			https://openalex.org/W4392374449
142	Cortese (2003)	1.3334	2.0489	9	78	220	19			https://openalex.org/W131893276
143	Lozano (2014)	2.0696	1.4479	6	132	356	31			https://openalex.org/W1973718260
144	Milutinović (2013)	1.2275	2.0082	9	8	17	4			https://openalex.org/W2001345274
145	Azeiteiro (2014)	0.5039	2.4603	12	26	53	7			https://openalex.org/W2002312887
146	HARIEMBRUNDTLAND (1985)	2.0298	1.4157	6	16	32	4			https://openalex.org/W2015442086
147	Yarime (2012)	1.2711	2.0279	9	11	24	6			https://openalex.org/W2099706748
148	Adomßent (2013)	1.3115	2.0224	9	25	60	9			https://openalex.org/W2132537351
149	Ceulemans (2009)	1.3231	2.0223	9	20	50	9			https://openalex.org/W2150963319
150	Molderez (2017)	-1.79	1.9609	20	48	119	16			https://openalex.org/W2607177595
151	W3122513644	2.3007	0.8443	4	96	275	26			https://openalex.org/W3122513644
152	Holdsworth (2008)	2.4306	0.8046	4	37	86	8			https://openalex.org/W1493070454
153	Mochizuki (2010)	2.191	1.1653	5	59	154	15			https://openalex.org/W1561086819
154	Yin (1984)	-1.8264	1.6362	21	4	8	3			https://openalex.org/W1527311855
155	O’Byrne (2014)	1.2308	2.0271	9	9	20	5			https://openalex.org/W2141505255
156	Caniglia (2017)	2.5153	0.453	3	4	9	4			https://openalex.org/W2758723291
157	Hernandez (2017)	2.1386	1.6371	6	3	6	3			https://openalex.org/W2769010001
158	Filho (2016)	2.0535	1.6013	6	2	4	2			https://openalex.org/W2921179822
159	Filho (2016)	2.0813	1.6042	6	2	4	2			https://openalex.org/W4239441910
160	Hall (2010)	2.4275	0.3781	3	3	6	3			https://openalex.org/W1988949948
161	Unknown (2022)	2.4313	0.4771	3	4	11	5			https://openalex.org/W4361016261
162	Eisenhardt (1989)	2.4382	0.3316	3	2	4	2			https://openalex.org/W2141951329
163	Vaughter (2013)	-1.6703	2.0009	20	5	10	4			https://openalex.org/W2162187479
164	Jóhannesson (2011)	1.1839	2.0012	9	4	8	3			https://openalex.org/W2025988448
165	Aikens (2016)	-1.7993	2.0828	20	2	4	2			https://openalex.org/W2339001487
166	González (2016)	2.1857	1.7592	6	1	2	2			https://openalex.org/W2550274853
167	Prince (2004)	2.5299	0.5899	3	6	12	3			https://openalex.org/W2134512579
168	Corcoran (2004)	2.1075	1.3161	5	11	22	5			https://openalex.org/W2495529536
169	Cotton (2010)	2.4841	0.5406	3	18	40	8			https://openalex.org/W2896460330
170	Dlouhá (2019)	2.4545	0.5422	3	20	50	7			https://openalex.org/W2955992980
171	Coral (2009)	2.4687	0.4887	3	14	30	8			https://openalex.org/W2094829345
172	Zizka (2020)	2.5172	0.3066	3	1	2	2			https://openalex.org/W3049168981
173	Díaz-García (2015)	0.9055	2.7177	11	3	6	2			https://openalex.org/W1556606819
174	Kaczynski (2008)	0.9437	2.7097	11	3	6	2			https://openalex.org/W2087018505
175	Venkataraman (2009)	2.2103	1.5658	6	7	14	8			https://openalex.org/W2018295357
176	Scholz (2006)	-2.0791	0.9118	23	10	20	6			https://openalex.org/W1958907339
177	Kolb (2005)	1.3481	2.0717	9	20	43	5			https://openalex.org/W2147454772
178	Kolb (1983)	-2.3906	1.0813	24	10	21	11			https://openalex.org/W2170644967
179	Filho (2015)	0.5033	2.4842	12	48	111	13			https://openalex.org/W1585438009
180	Biedenweg (2013)	0.4518	2.5757	12	1	2	3			https://openalex.org/W1973181809
181	Murray (2013)	-0.8454	2.2295	17	14	28	4			https://openalex.org/W1996634328
182	Summers (2004)	1.4662	1.9672	9	26	56	7			https://openalex.org/W2057250214
183	Brown (1989)	1.4274	1.9562	9	2	4	2			https://openalex.org/W2164599981
184	Kollmuss (2002)	1.4459	2.14	9	27	55	13			https://openalex.org/W2170488209
185	Hungerford (1990)	1.3962	2.1176	9	5	10	3			https://openalex.org/W1969203828
186	Bertschy (2013)	2.336	1.1551	5	44	119	11			https://openalex.org/W1984947111
187	Sibbel (2009)	1.3648	2.0495	9	30	68	6			https://openalex.org/W2054975627
188	Katsaliaki (2014)	1.196	1.9333	9	5	10	4			https://openalex.org/W2003577761
189	Rickinson (2001)	1.3474	1.9444	9	3	6	3			https://openalex.org/W2021471658
190	Thomas (2014)	1.3051	2.14	9	1	2	2			https://openalex.org/W2087885129
191	Shephard (2015)	-1.4175	2.0984	20	25	57	9			https://openalex.org/W2101754607
192	W3217611625	1.3994	2.0701	9	6	13	3			https://openalex.org/W3217611625
193	Wu (2015)	1.2343	1.9195	9	3	6	3			https://openalex.org/W2053552823
194	Garris (2002)	1.1468	1.8725	9	2	4	2			https://openalex.org/W2128783070
195	Fabricatore (2012)	1.0911	1.8719	9	1	2	2			https://openalex.org/W2153836596
196	Jensen (1997)	1.4337	2.307	9	2	4	3			https://openalex.org/W2029889044
197	Jensen (2002)	1.4192	2.4204	9	1	2	2			https://openalex.org/W2080120616
198	Chalkley (2006)	1.3201	1.8745	9	1	2	2			https://openalex.org/W2046942371
199	Armbruster (2009)	-1.3032	2.1194	20	1	2	2			https://openalex.org/W2158862579
200	Tormey (2012)	2.1948	1.0803	5	29	76	10			https://openalex.org/W13385916
201	Rauch (2013)	2.2726	1.1435	5	28	75	7			https://openalex.org/W1523970017
202	Wals (2010)	2.401	0.9029	4	61	152	11			https://openalex.org/W1948635650
203	Haan (2006)	2.2057	1.1745	5	62	190	14			https://openalex.org/W1987471835
204	Ryan (2013)	2.4997	0.7125	3	6	12	4			https://openalex.org/W2003813131
205	Kraker (2007)	2.0529	1.0579	5	6	13	3			https://openalex.org/W2098666051
206	Cebrián (2015)	-0.6827	2.4624	16	103	301	22			https://openalex.org/W2121711560
207	Wilson (2011)	2.0533	1.0294	5	4	8	2			https://openalex.org/W2143238692
208	Salgado (2012)	2.077	1.0149	5	4	8	3			https://openalex.org/W2162265363
209	Lambrechts (2016)	2.1521	1.1365	5	33	84	7			https://openalex.org/W2527025455
210	Albareda-Tiana (2018)	2.1403	1.0439	5	12	24	3			https://openalex.org/W2889127236
211	Albareda-Tiana (2018)	2.0948	1.0526	5	12	24	3			https://openalex.org/W2897157742
212	W4285719527	2.1008	1.1376	5	62	161	24			https://openalex.org/W4285719527
213	Dillon (2004)	2.5903	0.7476	4	4	8	2			https://openalex.org/W1971006093
214	Barth (2015)	2.5959	0.7166	4	14	29	4			https://openalex.org/W2237321668
215	Fischer (2014)	2.5706	0.6857	4	4	8	2			https://openalex.org/W2325995189
216	Rockström (2009)	2.292	1.1794	5	17	38	7			https://openalex.org/W2105414963
217	Biasutti (2016)	1.5347	2.0083	9	40	92	12			https://openalex.org/W2276727223
218	Willard (2010)	2.1395	1.184	5	21	54	5			https://openalex.org/W2014960418
219	Barth (2012)	2.1558	1.179	5	27	73	10			https://openalex.org/W2083026351
220	Mulder (2009)	2.106	1.1768	5	12	24	2			https://openalex.org/W2156653779
221	Vega-Marcote (2015)	2.6195	0.4371	3	3	6	3			https://openalex.org/W2162451926
222	Salgado (2017)	2.176	1.2029	5	20	45	4			https://openalex.org/W2617988633
223	Shephard (2018)	2.1876	1.1896	5	27	67	6			https://openalex.org/W2898119929
224	Lozano (2011)	1.9254	1.1726	5	5	10	3			https://openalex.org/W2120456857
225	Stoof (2002)	2.0538	1.1429	5	3	6	2			https://openalex.org/W2086787077
226	Dlouhá (2017)	-0.8037	2.2517	17	17	35	5			https://openalex.org/W2717881968
227	Biasutti (2014)	1.6246	1.9679	9	4	9	3			https://openalex.org/W2021672632
228	Anderson (2001)	0.6756	2.432	11	4	8	5			https://openalex.org/W2116817443
229	Heinrichs (2015)	2.4524	0.4973	3	3	6	2			https://openalex.org/W2588116075
230	Dlouhá (2016)	2.655	0.5001	3	1	2	3			https://openalex.org/W2500843334
231	Amaral (2015)	0.504	2.4187	12	13	28	7			https://openalex.org/W2038736410
232	Kopnina (2017)	0.6897	2.3384	12	1	2	3			https://openalex.org/W2597235172
233	Zamora‐Polo (2019)	2.3919	0.7453	3	10	23	7			https://openalex.org/W2965942924
234	Kioupi (2020)	0.6797	2.4244	12	9	19	7			https://openalex.org/W3071167947
235	Paletta (2019)	2.3656	0.9172	3	1	2	3			https://openalex.org/W2950422737
236	White (2013)	2.5699	0.559	3	6	12	2			https://openalex.org/W2121799564
237	Sayce (2013)	2.5787	0.5744	3	6	12	2			https://openalex.org/W2899309304
238	Price (2021)	2.4622	0.4511	3	2	5	3			https://openalex.org/W3214713590
239	Vargas (2019)	-0.7515	2.0532	17	5	10	4			https://openalex.org/W2954574673
240	Richardson (2023)	2.6264	0.6201	3	3	6	3			https://openalex.org/W4386706488
241	Stefănescu (2013)	-2.465	0.7065	24	19	45	9			https://openalex.org/W1538292932
242	Kagawa (2007)	1.427	2.0412	9	108	278	19			https://openalex.org/W1555107487
243	Lozano (2009)	2.0024	1.4409	6	32	77	13			https://openalex.org/W2013915056
244	W3122908389	2.2274	1.2206	5	189	630	45			https://openalex.org/W3122908389
245	Zsóka (2012)	1.4518	2.0661	9	8	18	5			https://openalex.org/W2000806946
246	Emanuel (2011)	1.4567	2.0462	9	26	60	7			https://openalex.org/W2006063773
247	Warburton (2003)	2.2969	0.9466	4	23	49	7			https://openalex.org/W2018951189
248	Sammalisto (2014)	1.5104	2.0723	9	4	9	4			https://openalex.org/W2070274818
249	Zeegers (2014)	1.4911	2.0833	9	37	82	10			https://openalex.org/W2083244336
250	Zelezny (2000)	1.4721	1.9737	9	15	30	4			https://openalex.org/W2098606781
251	Fisher (2015)	-1.6898	1.6728	20	22	45	9			https://openalex.org/W2149526823
252	Bloom (1956)	2.1716	1.1699	4	2	4	4			https://openalex.org/W1580749063
253	Ceulemans (2015)	1.9165	1.1045	5	2	4	3			https://openalex.org/W1601320559
254	Connell (2012)	1.5225	2.1612	9	3	6	2			https://openalex.org/W2064380892
255	Ull (2014)	1.6031	2.1381	9	1	2	2			https://openalex.org/W2089376245
256	Christensen (2007)	2.3544	1.3552	5	1	2	2			https://openalex.org/W2137875863
257	Janakiraman (2018)	2.4786	1.7377	6	1	2	2			https://openalex.org/W2897381143
258	Larasati (1977)	2.3753	1.6785	6	6	13	7			https://openalex.org/W4292808503
259	Cebrián (2014)	2.3885	0.8311	4	50	137	13			https://openalex.org/W1972111361
260	Howlett (2016)	2.4176	0.6211	3	17	46	9			https://openalex.org/W2288764743
261	Filho (2018)	2.3561	1.0015	4	32	92	17			https://openalex.org/W2884330262
262	Giangrande (2019)	2.4634	0.5809	3	36	100	14			https://openalex.org/W2946656904
263	Moore (2005)	2.4068	0.8735	4	22	53	6			https://openalex.org/W2072496161
264	Natkin (2016)	2.3267	0.7258	4	3	6	3			https://openalex.org/W2475025939
265	Mengistu (2019)	2.435	0.6646	4	1	2	2			https://openalex.org/W2946578835
266	Hopkins (2012)	2.6872	0.6629	3	1	2	2			https://openalex.org/W1994053978
267	Hallinger (2019)	-1.4664	1.9383	19	6	12	4			https://openalex.org/W2940938589
268	Holfelder (2019)	0.6614	2.3761	12	3	6	3			https://openalex.org/W2943073979
269	Purcell (2019)	-1.5039	2.0321	19	20	40	8			https://openalex.org/W2949838620
270	Katiliūtė (2016)	2.6936	0.6444	3	1	2	2			https://openalex.org/W2587362242
271	Stough (2017)	2.1266	1.3833	6	36	87	10			https://openalex.org/W2587802453
272	Ãvila (2017)	2.1954	1.4158	6	16	38	9			https://openalex.org/W2732818708
273	Seatter (2017)	2.4539	0.5555	3	25	63	9			https://openalex.org/W2752231119
274	UK (2014)	1.3315	2.0791	9	14	28	6			https://openalex.org/W4229826496
275	Sterling (2013)	-2.3954	0.7621	24	10	23	5			https://openalex.org/W1572601495
276	Koester (2013)	2.4181	0.4679	3	8	17	5			https://openalex.org/W2313739345
277	Sterling (2013)	-2.3961	0.6675	24	5	11	5			https://openalex.org/W2326226846
278	Orr (1994)	2.5036	0.4911	3	6	12	5			https://openalex.org/W1561376627
279	Sterling (2001)	2.3868	0.4783	4	9	18	6			https://openalex.org/W1591178480
280	Filho (2019)	2.6098	0.6877	3	3	6	4			https://openalex.org/W2960484461
281	Savage (2015)	2.4051	0.6073	3	13	28	5			https://openalex.org/W1907150875
282	Holdsworth (2018)	2.3222	0.6492	3	3	6	2			https://openalex.org/W2897201307
283	Redman (2020)	2.409	0.598	3	44	112	12			https://openalex.org/W3082061518
284	Zilahy (2009)	2.4607	0.6449	3	5	10	3			https://openalex.org/W2051365428
285	Sandri (2016)	2.4129	0.559	3	15	36	4			https://openalex.org/W2565147868
286	DeVasher (2013)	2.2937	0.7996	3	2	4	2			https://openalex.org/W3037017870
287	Pee (2020)	2.1934	0.6061	3	1	2	2			https://openalex.org/W3092042743
288	Unknown (2012)	2.3098	0.8023	3	2	4	2			https://openalex.org/W577415254
289	Barlett (2013)	2.2125	0.7123	3	1	2	2			https://openalex.org/W625379443
290	White (2014)	0.5461	2.3209	12	2	4	2			https://openalex.org/W2231557200
291	Diamond (2013)	0.4205	2.5147	12	1	2	3			https://openalex.org/W2011245991
292	Altomonte (2016)	0.443	2.4184	12	4	8	3			https://openalex.org/W2297574470
293	Wu (2016)	-1.5833	2.0326	20	19	41	9			https://openalex.org/W2509935697
294	Findler (2019)	0.4783	2.3872	12	25	58	14			https://openalex.org/W2907106433
295	Isenmann (2019)	2.1364	1.4948	6	16	34	5			https://openalex.org/W2994666155
296	Caeiro (2020)	2.1848	1.3542	6	3	6	4			https://openalex.org/W2999393464
297	Olsson (2020)	0.3602	2.3245	12	3	6	3			https://openalex.org/W3011073099
298	Mezirow (1997)	2.4842	0.4854	3	24	56	14			https://openalex.org/W2011182411
299	Taylor (2007)	2.5664	0.3206	3	1	2	2			https://openalex.org/W2120043196
300	Aboytes (2020)	2.42	0.5408	3	10	29	8			https://openalex.org/W3038361518
301	W6908677981	2.4258	0.5966	3	9	23	6			https://openalex.org/W6908677981
302	Singer‐Brodowski (2022)	2.4069	0.654	3	3	7	4			https://openalex.org/W4220658442
303	Fischer (2022)	2.4844	0.6324	3	17	38	7			https://openalex.org/W4283795089
304	Haan (2010)	2.2671	1.2255	5	92	253	23			https://openalex.org/W2003981576
305	Ertl (2002)	0.7704	1.9313	11	4	8	2			https://openalex.org/W2213460909
306	Grosseck (2019)	2.3648	0.5856	3	21	46	9			https://openalex.org/W2983865236
307	Edwards (2020)	0.8302	2.0441	11	14	29	4			https://openalex.org/W3005648078
308	Grin (2010)	0.8075	1.9177	11	4	8	3			https://openalex.org/W4300104998
309	Eagle (2015)	1.4114	2.0505	9	30	68	7			https://openalex.org/W1503389428
310	Jones (2008)	2.3672	0.8836	4	54	128	9			https://openalex.org/W1981980905
311	Karatzoglou (2012)	-0.8692	2.4508	17	62	159	18			https://openalex.org/W2003307953
312	Lozano (2006)	2.0637	1.4029	6	72	184	16			https://openalex.org/W2004949876
313	Winter (2012)	1.3563	2.1422	9	49	116	14			https://openalex.org/W2143451015
314	Aleixo (2016)	2.1118	1.4521	6	59	132	13			https://openalex.org/W2548020913
315	Hedden (2017)	1.3806	2.0969	9	7	14	2			https://openalex.org/W2740826796
316	Dagiliūtė (2018)	1.3699	2.102	9	19	39	7			https://openalex.org/W2791845916
317	W6605326588	1.355	2.0641	9	32	79	8			https://openalex.org/W6605326588
318	Wright (2009)	1.4461	2.0947	9	10	21	5			https://openalex.org/W2024681112
319	Cotton (2007)	2.2731	0.8823	4	12	25	6			https://openalex.org/W2115939817
320	Nousheen (2019)	0.8301	2.4833	11	44	106	13			https://openalex.org/W2992304511
321	Figueredo (2013)	2.1366	1.412	6	15	33	4			https://openalex.org/W2021436243
322	Wachholz (2014)	2.1793	1.3994	6	10	23	5			https://openalex.org/W2025357759
